Treatment_group_ID;Treatment;Mouse_ID;uCT_volume_2024-01-01;uCT_volume_2024-01-05;uCT_volume_2024-01-09;uCT_volume_2024-01-13;uCT_volume_2024-01-17;uCT_volume_2024-01-21
G1;Continous;S1;1.0971007720566819;NA;NA;NA;NA;0.04255262415849103
G1;Continous;S2;1.6205360282628678;NA;NA;NA;NA;0.08568743684308489
G1;Continous;S3;0.8979194180700931;NA;NA;NA;NA;0.04547403637636317
G1;Continous;S4;2.8342235125808486;NA;NA;NA;NA;0.15933855784647866
G1;Continous;S5;1.1563274717015404;NA;NA;NA;NA;0.10676548742751071
G1;Continous;S6;1.9418864987385285;NA;NA;NA;NA;0.22691349355240742
G1;Continous;S7;3.475955988976056;NA;NA;NA;NA;0.28556733121926736
G1;Continous;S8;1.3610182399974802;NA;NA;NA;NA;0.157502080738898
G1;Continous;S9;1.3278241588619857;NA;NA;NA;NA;0.20281396800697896
G1;Continous;S10;1.6440514934159267;NA;NA;NA;NA;0.11737478428692585
