Treatment_group_ID;Treatment;Mouse_ID;LxW_2024-01-01;LxW_2024-01-05;LxW_2024-01-09;LxW_2024-01-13;LxW_2024-01-17;LxW_2024-01-21
G2;Single;S1;1.7453860402732855;4.081397498318247;2.1451828670897366;7.701938045688322;15.444178316436991;31.164354970221783
G2;Single;S2;2.05926969730592;4.729383876540497;3.4916084804690932;9.65245227695317;15.590087316144944;29.69665827159113
G2;Single;S3;1.4270638706832146;2.81697082821489;2.5750665262065633;4.755361043932555;10.392237300011685;16.629721064528308
G2;Single;S4;2.828760816021983;6.589112129063942;3.140702691599236;4.865844253046147;23.583077636192126;34.26132200551766
G2;Single;S5;1.7213960222056082;4.0331174446082505;4.572780927089047;6.847571632164728;18.962570009375376;49.065555206390385
G2;Single;S6;2.3157869996915026;4.086003004187002;2.893669732333303;9.51603675199242;8.900842575981189;52.91293778641619
G2;Single;S7;4.606228547768733;9.552000349723404;10.407838341550917;16.72530281591699;34.8668452414335;86.40489637282354
G2;Single;S8;1.9621613824806916;4.824004965745148;5.268848813418542;12.742212710484008;20.517144570231636;29.512714548499385
G2;Single;S9;1.7281147096296217;3.8552836332689813;4.649484071428016;5.966355682607704;16.93826081871963;12.355199188497943
G2;Single;S10;1.7524911007554311;3.8417385926357865;3.5422901519113186;5.724637040345156;11.46384749356232;37.94252999444626
