Treatment_group_ID;Treatment;Mouse_ID;LxW_2024-01-01;LxW_2024-01-05;LxW_2024-01-09;LxW_2024-01-13;LxW_2024-01-17;LxW_2024-01-21
Ctrl;Control;S1;1.4574631128755067;3.1428354333698554;7.047908828137176;16.072919137572867;33.211160866684985;68.23670015068105
Ctrl;Control;S2;2.404654214591279;4.533051768802721;8.540163767295514;18.33729113492337;38.81773154254395;82.76918211815226
Ctrl;Control;S3;2.3230085379970125;4.526566652216553;9.949036665924005;21.704679563595768;42.226333872667524;84.1456592628093
Ctrl;Control;S4;0.9642602261131212;1.9016827734431478;4.064445637556398;7.834365026255838;15.003119036708323;31.20005621148571
Ctrl;Control;S5;2.344030534358317;4.448614034926027;8.2532800791157;16.170626061325805;35.2649528235881;62.26779484301373
Ctrl;Control;S6;2.721163423460167;4.976791706582781;11.206502519392384;23.278627527240072;48.76824903606888;86.73791225309402
Ctrl;Control;S7;1.8730159334628544;3.909319044350163;8.578641266120398;20.16110564478832;44.75223818343081;93.47127678091165
Ctrl;Control;S8;1.9883221954491268;4.336418179246252;9.931262071946907;19.200756573427267;37.30026841101282;82.87930033931832
Ctrl;Control;S9;3.002998594797386;6.733673573975503;13.260392929786418;27.899300650470064;57.51867519132477;113.26232174646873
Ctrl;Control;S10;3.0379199931743055;7.741471448120208;15.457350845602205;36.24257477906226;81.56442348156534;176.0020367865791
