Treatment_group_id,Treatment,Mouse_ID,uCT_volume_2024-01-01,uCT_volume_2024-01-05,uCT_volume_2024-01-09,uCT_volume_2024-01-13,uCT_volume_2024-01-17,uCT_volume_2024-01-21
Ctrl,Control,S1,1.0195441737712385,3.0468541474528594,9.42939736790596,29.159730258930615,82.52547563858116,236.53267366317846
Ctrl,Control,S2,2.154997117213502,5.596563177702238,16.845241801293085,55.78128764399472,173.10814413554417,551.4217407291534
Ctrl,Control,S3,1.8189627139482147,4.793419627372935,16.37771236301971,55.7182006470795,142.28047766135467,395.5633120019849
Ctrl,Control,S4,0.53385578170330406,1.5798572269065767,5.328023210773142,14.804890719392384,38.07056402914157,115.8486145162949
Ctrl,Control,S5,1.6580573929879616,4.124235465459075,11.244020967907318,30.491743237506476,90.51893955450616,214.19230569486763
Ctrl,Control,S6,2.492621770633617,7.1791742960687195,25.83895939321565,84.94995519268213,257.3139717173742,633.8650637842632
Ctrl,Control,S7,1.4730912344532139,4.296193769782441,13.617346441871494,45.031051817128045,148.7600939110924,473.0439266067043
Ctrl,Control,S8,1.6213907461098231,4.835537168291016,14.678992336898068,42.31973831260172,117.50638745908272,345.11688941525637
Ctrl,Control,S9,2.478928065285294,8.820281379072567,22.696038033794572,74.13482605036384,227.69117131485197,624.5722728195356
Ctrl,Control,S10,2.7351895863267734,10.592288129375325,29.44652633118352,98.12713769184438,300.6293080097943,1035.1344047218292
