Treatment_group_id,Treatment,Mouse_ID,uCT_volume_2024-01-01,uCT_volume_2024-01-05,uCT_volume_2024-01-09,uCT_volume_2024-01-13,uCT_volume_2024-01-17,uCT_volume_2024-01-21
G2,Single,S1,1.0971007720566819,3.5034837027749304,1.2016954234839996,9.340494761873016,25.006533843354905,81.08099551662335
G2,Single,S2,1.6205360282628678,5.677045812328146,3.16621867439049,9.910959153997293,31.873767399397146,115.54521074689828
G2,Single,S3,0.8979194180700931,2.3926751189592004,2.2521157074897915,4.675609722245959,10.284589613500055,29.414425975860908
G2,Single,S4,2.8342235125808486,10.448780925510803,4.669653201127244,8.640998878744528,90.76141083443571,155.69823519208137
G2,Single,S5,1.1563274717015404,4.01115686843192,5.004681792396501,9.483880526185711,32.02646320834511,102.24622935636043
G2,Single,S6,1.9418864987385285,5.217451918138296,4.437116714334242,23.484469978931504,29.6343722349246,258.49999564437053
G2,Single,S7,3.475955988976056,9.928806934964724,8.614318826326691,21.352785566935207,63.82467014157976,300.64466590855943
G2,Single,S8,1.3610182399974802,4.9151458982120815,6.086333624581496,9.659034867205518,38.757342720702844,61.95803294470021
G2,Single,S9,1.3278241588619857,4.469728487294516,4.3471305461692555,11.27408124917648,50.40881971310553,55.89423937998515
G2,Single,S10,1.6440514934159267,5.61701782272989,4.5106679550784214,7.884762314673332,32.71821852602399,180.18637882595513
